N,D,bonus,condition,seed,update,eat0,eat1,enc0,enc1,selectivity,prevalence,zaps,ret
12,100,8.75,1,0,0,58.125,60.625,474.625,470.875,0.9684417843818665,0.4169434905052185,39.625,-44.32500457763672
12,100,8.75,1,0,1,57.3125,62.6875,453.125,467.4375,0.9362761378288269,0.43921780586242676,41.1875,-45.87005615234375
12,100,8.75,1,0,2,62.125,60.75,485.0,467.25,0.9821215271949768,0.4333811104297638,39.5,-44.075782775878906
12,100,8.75,1,0,3,62.6875,55.4375,484.375,453.8125,1.1017872095108032,0.38534876704216003,40.1875,-45.281517028808594
12,100,8.75,1,0,4,61.0625,58.8125,484.6875,455.1875,0.9200530648231506,0.41044774651527405,38.5625,-44.64141082763672
12,100,8.75,1,0,5,61.4375,55.1875,511.375,432.0625,0.9120752215385437,0.40137651562690735,39.4375,-46.25495147705078
12,100,8.75,1,0,6,61.5625,53.375,500.25,444.8125,0.9424134492874146,0.40610209107398987,40.5,-47.29792022705078
12,100,8.75,1,0,7,58.5625,55.4375,493.3125,453.0625,0.9992818832397461,0.39588868618011475,39.8125,-45.3984375
12,100,8.75,1,0,8,61.0625,52.4375,511.1875,415.0,0.8410249948501587,0.38423484563827515,38.875,-47.59141159057617
12,100,8.75,1,0,9,61.8125,51.375,512.6875,412.1875,0.9599242210388184,0.3802127540111542,38.1875,-45.2325553894043
12,100,8.75,1,0,10,60.8125,47.3125,498.8125,387.0,0.992209255695343,0.3479294180870056,38.5625,-46.91328048706055
12,100,8.75,1,0,11,58.25,48.5625,480.0625,413.3125,0.94034343957901,0.34828123450279236,39.3125,-47.5234375
12,100,8.75,1,0,12,58.0625,47.125,493.25,367.875,0.9096366763114929,0.3451416492462158,37.625,-45.76015853881836
12,100,8.75,1,0,13,57.1875,51.25,481.4375,393.5,0.9596449732780457,0.3630165755748749,40.1875,-48.19115447998047
12,100,8.75,1,0,14,63.3125,51.4375,511.6875,376.25,0.8769423961639404,0.35588598251342773,38.25,-47.359642028808594
12,100,8.75,1,0,15,56.75,52.1875,491.4375,392.5,0.9981903433799744,0.361531138420105,37.0625,-44.04948425292969
12,100,8.75,1,0,16,58.4375,50.5,478.1875,368.1875,1.0064611434936523,0.3475891649723053,37.875,-45.57500457763672
12,100,8.75,1,0,17,57.25,53.25,465.5625,372.3125,0.9769533276557922,0.3627699613571167,37.5625,-44.78515625
12,100,8.75,1,0,18,59.1875,52.1875,446.0625,364.9375,0.985162079334259,0.3716891407966614,38.0625,-45.26536560058594
12,100,8.75,1,0,19,62.875,52.9375,476.25,349.75,0.9100154638290405,0.35773301124572754,37.4375,-46.73151397705078
