N,D,bonus,condition,seed,update,eat0,eat1,enc0,enc1,selectivity,prevalence,zaps,ret
12,100,8.75,01,0,0,58.25,61.625,453.75,490.0,0.9650914072990417,0.6963337659835815,38.875,6.279166221618652
12,100,8.75,01,0,1,59.3125,62.1875,463.875,474.0625,0.9831624031066895,0.7015718221664429,41.5,7.4026031494140625
12,100,8.75,01,0,2,62.1875,60.4375,474.75,472.875,0.9384031891822815,0.7066363096237183,41.0,5.6721343994140625
12,100,8.75,01,0,3,61.0,59.875,449.125,467.3125,0.9935779571533203,0.6901464462280273,39.375,6.407812118530273
12,100,8.75,01,0,4,58.125,62.875,430.4375,456.375,0.987524151802063,0.7054630517959595,43.0625,8.328645706176758
12,100,8.75,01,0,5,63.9375,62.6875,454.875,455.1875,0.9565281271934509,0.7231667637825012,41.5625,6.4104156494140625
12,100,8.75,01,0,6,58.0625,65.0625,450.5,460.8125,0.9963105320930481,0.7056602835655212,42.9375,8.227863311767578
12,100,8.75,01,0,7,63.375,62.0,452.4375,451.25,0.9938544034957886,0.7043284773826599,43.125,7.182551860809326
12,100,8.75,01,0,8,57.4375,63.25,416.375,438.0,0.9461345672607422,0.6920568346977234,43.8125,6.97734260559082
12,100,8.75,01,0,9,59.5,61.75,423.4375,430.1875,0.9718342423439026,0.7002385258674622,43.625,7.130468368530273
12,100,8.75,01,0,10,59.125,61.875,417.875,441.625,0.9612708687782288,0.7051822543144226,44.625,7.167707443237305
12,100,8.75,01,0,11,61.1875,58.5,416.3125,417.9375,0.9568599462509155,0.7023648023605347,46.3125,7.193228721618652
12,100,8.75,01,0,12,58.0,63.375,390.6875,422.8125,0.9203296899795532,0.703973114490509,48.8125,6.722395896911621
12,100,8.75,01,0,13,57.9375,60.75,405.625,420.5625,0.9696913957595825,0.6906330585479736,48.0625,8.085676193237305
12,100,8.75,01,0,14,59.0,59.5,400.6875,395.25,0.9593557119369507,0.7060294151306152,46.875,7.345312118530273
12,100,8.75,01,0,15,58.8125,59.625,380.1875,388.4375,0.9788767099380493,0.6866563558578491,49.375,8.341926574707031
12,100,8.75,01,0,16,60.3125,59.625,404.5625,407.3125,0.959868848323822,0.7035592794418335,48.125,6.4416656494140625
12,100,8.75,01,0,17,55.5625,62.875,394.8125,405.375,0.9679473042488098,0.7071377038955688,50.3125,9.028385162353516
12,100,8.75,01,0,18,56.6875,61.125,394.3125,404.3125,0.9925538897514343,0.7017427086830139,50.25,8.65572738647461
12,100,8.75,01,0,19,56.25,63.25,375.0625,426.0625,0.9556642770767212,0.7167597413063049,51.1875,8.958072662353516
12,100,8.75,01,0,20,61.25,63.5,392.375,426.125,1.0062952041625977,0.7172694206237793,47.625,7.932811260223389
12,100,8.75,01,0,21,55.75,62.75,368.5,404.875,0.9433465600013733,0.6937406659126282,52.8125,8.276822090148926
12,100,8.75,01,0,22,58.125,61.375,388.75,405.4375,0.9793846011161804,0.7039998173713684,51.125,7.62968635559082
12,100,8.75,01,0,23,60.75,55.625,386.8125,374.75,0.9971995949745178,0.6809935569763184,52.0,6.946613311767578
12,100,8.75,01,0,24,57.125,57.1875,389.6875,376.625,0.959083616733551,0.6922287940979004,52.8125,7.601301193237305
12,100,8.75,01,0,25,57.875,65.75,374.5625,408.3125,0.9727100133895874,0.7102929949760437,51.5625,8.114583015441895
12,100,8.75,01,0,26,58.0625,61.4375,383.6875,389.0,0.9696128368377686,0.7095915079116821,51.6875,8.436717987060547
12,100,8.75,01,0,27,54.9375,60.5,367.5625,381.3125,0.9816803336143494,0.6875065565109253,53.0625,7.7856764793396
12,100,8.75,01,0,28,54.875,58.5625,360.125,390.5625,0.9140046834945679,0.6884556412696838,55.125,7.345050811767578
12,100,8.75,01,0,29,56.4375,62.9375,371.375,397.0625,0.9900187849998474,0.7011440396308899,52.3125,8.847655296325684
12,100,8.75,01,0,30,56.75,58.5625,371.25,386.6875,0.9672574996948242,0.6944859623908997,53.3125,8.099739074707031
12,100,8.75,01,0,31,53.375,61.3125,338.125,378.6875,0.993549108505249,0.68389892578125,53.625,9.329425811767578
12,100,8.75,01,0,32,58.5,62.0625,345.25,401.875,0.9632946848869324,0.6999786496162415,54.6875,7.674478530883789
12,100,8.75,01,0,33,53.1875,60.5,337.625,396.875,0.9485480189323425,0.691006064414978,53.875,7.702342510223389
12,100,8.75,01,0,34,57.875,56.25,357.875,371.9375,0.980404794216156,0.6915557384490967,55.125,8.315103530883789
12,100,8.75,01,0,35,57.3125,60.25,355.0,389.625,0.9582881331443787,0.706312358379364,53.1875,7.343749046325684
12,100,8.75,01,0,36,55.0625,59.0625,351.9375,383.9375,0.9615865349769592,0.6863425374031067,56.0625,8.975000381469727
12,100,8.75,01,0,37,55.5625,59.9375,345.3125,378.1875,1.007504940032959,0.6860790252685547,53.4375,8.501822471618652
12,100,8.75,01,0,38,58.5,60.125,356.25,370.4375,0.9949667453765869,0.7031859755516052,53.0625,7.9036455154418945
12,100,8.75,01,0,39,55.1875,59.4375,341.75,370.125,0.9413228631019592,0.6859169602394104,55.5625,7.277082443237305
