condition,seed,update,enforce,eat0,eat1,enc0,enc1,selectivity,prevalence,zaps,ret
01,0,0,1.0,58.1875,61.8125,453.875,487.75,0.9545653462409973,0.6961452960968018,38.75,5.991144180297852
01,0,1,1.0,59.5625,63.75,469.4375,473.125,1.0023728609085083,0.7108326554298401,40.4375,7.7658843994140625
01,0,2,1.0,61.0,61.1875,458.125,462.3125,0.9435548186302185,0.7043638229370117,40.4375,5.2229156494140625
01,0,3,1.0,65.5,60.9375,481.0625,461.6875,1.011474609375,0.7191622853279114,40.125,7.4299468994140625
01,0,4,1.0,58.4375,62.625,422.9375,457.875,0.9568811655044556,0.7048091888427734,43.0,7.7541656494140625
01,0,5,1.0,56.875,65.375,419.875,485.75,0.9236355423927307,0.7132938504219055,42.5,6.685415267944336
01,0,6,1.0,56.5625,65.3125,451.9375,461.9375,0.9583460688591003,0.7103467583656311,42.875,7.860675811767578
01,0,7,1.0,61.75,59.9375,435.5625,446.5,0.9155218601226807,0.7038402557373047,43.9375,5.725259304046631
01,0,8,1.0,59.125,62.25,424.1875,442.375,0.9641386270523071,0.6983682513237,43.8125,6.774999141693115
01,0,9,1.0,60.6875,62.5,431.8125,444.8125,0.9058288931846619,0.7219999432563782,44.4375,6.288280487060547
01,0,10,1.0,57.6875,65.5625,410.1875,457.3125,0.9477970004081726,0.7196401953697205,44.625,7.800780296325684
01,0,11,1.0,60.0,59.6875,420.75,420.0625,0.9585503935813904,0.7038741111755371,46.6875,7.603123664855957
01,0,12,1.0,56.0625,65.8125,387.25,437.5,0.9597437381744385,0.6979197859764099,46.1875,8.285676002502441
01,0,13,1.0,60.25,60.4375,412.1875,424.375,0.9413191676139832,0.7045420408248901,48.0625,6.933852672576904
01,0,14,1.0,62.0625,61.0625,412.375,415.6875,0.9269592761993408,0.7158632874488831,47.1875,6.5559892654418945
01,0,15,0.0,68.125,79.875,456.4375,535.25,0.9916788339614868,0.7741840481758118,164.6875,81.96640014648438
01,0,16,0.0,68.6875,82.5,458.625,537.8125,0.9612292051315308,0.7558333277702332,160.4375,74.69244384765625
01,0,17,0.0,73.25,76.5625,482.9375,511.1875,1.000646948814392,0.7711805701255798,170.8125,84.26171112060547
01,0,18,0.0,71.4375,75.9375,501.75,497.125,0.9679811000823975,0.772777795791626,174.875,83.96588134765625
01,0,19,0.0,74.8125,72.875,489.75,490.9375,0.9820512533187866,0.7521874904632568,183.6875,86.29035949707031
01,0,20,0.0,77.5625,68.4375,530.625,438.5625,0.9657435417175293,0.7481076717376709,188.5,85.57786560058594
01,0,21,0.0,73.0,68.1875,494.6875,445.4375,0.9519212245941162,0.733385443687439,196.6875,86.46379852294922
01,0,22,0.0,72.4375,60.375,509.8125,406.5,0.9314204454421997,0.7150173783302307,212.9375,88.81432342529297
01,0,23,0.0,70.625,56.4375,496.5,377.3125,0.9731149673461914,0.6898611187934875,210.6875,88.000244140625
01,0,24,0.0,69.0625,55.9375,521.9375,364.6875,0.9582271575927734,0.6844791769981384,220.3125,89.73020935058594
01,0,25,0.0,68.75,57.625,487.125,376.0625,0.9379753470420837,0.6905208230018616,238.25,96.97525024414062
01,0,26,0.0,67.8125,55.3125,507.4375,394.875,0.9185546040534973,0.6774826645851135,252.1875,99.10128784179688
01,0,27,0.0,63.625,50.875,470.375,369.625,0.952562153339386,0.659496545791626,253.0,99.90702819824219
01,0,28,0.0,62.5,54.5,453.875,375.6875,0.9092144966125488,0.6695486307144165,241.0625,91.84529876708984
01,0,29,0.0,63.3125,45.4375,513.625,332.375,0.9406960606575012,0.6314062476158142,258.75,95.06170654296875
