N,D,bonus,condition,seed,update,eat0,eat1,enc0,enc1,selectivity,prevalence,zaps,ret
12,100,8.75,none,0,0,59.75390625,61.51171875,474.296875,478.86328125,0.0,0.0,40.1328125,-13.334928512573242
12,100,8.75,none,0,1,61.328125,60.15234375,480.61328125,465.1015625,0.0,0.0,39.7421875,-13.592024803161621
12,100,8.75,none,0,2,62.1171875,60.55859375,482.32421875,469.6328125,0.0,0.0,39.671875,-13.604654312133789
12,100,8.75,none,0,3,63.57421875,60.83984375,494.046875,459.2421875,0.0,0.0,38.93359375,-13.692545890808105
12,100,8.75,none,0,4,63.84375,60.48046875,494.4140625,453.96484375,0.0,0.0,38.06640625,-13.6968412399292
12,100,8.75,none,0,5,65.30859375,59.19140625,495.828125,442.6015625,0.0,0.0,37.80859375,-13.973925590515137
12,100,8.75,none,0,6,67.23046875,58.953125,503.109375,432.140625,0.0,0.0,36.9921875,-13.889452934265137
12,100,8.75,none,0,7,67.08203125,60.80078125,498.5078125,428.6875,0.0,0.0,36.296875,-13.569628715515137
12,100,8.75,none,0,8,69.23046875,61.375,503.06640625,419.1875,0.0,0.0,35.0625,-13.732096672058105
12,100,8.75,none,0,9,70.6640625,62.51171875,495.1484375,412.109375,0.0,0.0,34.07421875,-13.613997459411621
12,100,8.75,none,0,10,71.796875,64.65625,487.08203125,403.86328125,0.0,0.0,33.45703125,-13.522916793823242
12,100,8.75,none,0,11,73.0703125,66.60546875,479.93359375,403.296875,0.0,0.0,32.65625,-13.25244140625
12,100,8.75,none,0,12,74.79296875,69.51171875,470.19921875,398.98046875,0.0,0.0,31.93359375,-12.94746208190918
12,100,8.75,none,0,13,77.16796875,72.48828125,461.40234375,394.98828125,0.0,0.0,30.796875,-12.8638334274292
12,100,8.75,none,0,14,79.12890625,75.6015625,452.359375,395.32421875,0.0,0.0,30.00390625,-12.57470703125
12,100,8.75,none,0,15,79.96484375,78.28125,440.8671875,389.26953125,0.0,0.0,29.8828125,-12.582487106323242
12,100,8.75,none,0,16,80.8671875,82.0,426.6171875,390.38671875,0.0,0.0,29.63671875,-12.199056625366211
12,100,8.75,none,0,17,82.56640625,84.140625,419.296875,380.8125,0.0,0.0,28.80859375,-12.015852928161621
12,100,8.75,none,0,18,84.984375,86.5546875,407.7890625,382.875,0.0,0.0,28.4453125,-12.078807830810547
12,100,8.75,none,0,19,85.4453125,89.31640625,394.15234375,378.52734375,0.0,0.0,27.33984375,-11.720248222351074
12,100,8.75,none,0,20,86.62890625,90.453125,384.9140625,375.0703125,0.0,0.0,27.12890625,-11.599447250366211
12,100,8.75,none,0,21,88.125,92.7734375,380.16796875,371.43359375,0.0,0.0,26.21484375,-11.368456840515137
12,100,8.75,none,0,22,89.58203125,93.19921875,369.28125,366.0390625,0.0,0.0,25.234375,-11.434504508972168
12,100,8.75,none,0,23,89.03125,95.51953125,360.46484375,362.54296875,0.0,0.0,24.05859375,-10.986392974853516
12,100,8.75,none,0,24,91.828125,96.68359375,362.45703125,358.21875,0.0,0.0,23.0703125,-11.007226943969727
12,100,8.75,none,0,25,91.18359375,97.74609375,351.125,358.41015625,0.0,0.0,22.5625,-10.79052734375
12,100,8.75,none,0,26,93.8515625,98.453125,355.44921875,356.35546875,0.0,0.0,21.40234375,-10.829524993896484
12,100,8.75,none,0,27,93.2890625,98.1484375,350.69921875,349.51953125,0.0,0.0,21.01953125,-10.723079681396484
12,100,8.75,none,0,28,96.89453125,100.0625,355.04296875,352.3125,0.0,0.0,19.8046875,-10.810873031616211
12,100,8.75,none,0,29,97.6484375,98.05859375,355.1484375,349.20703125,0.0,0.0,20.015625,-11.117643356323242
12,100,8.75,none,0,30,97.68359375,100.05078125,357.2421875,353.47265625,0.0,0.0,19.54296875,-11.025716781616211
12,100,8.75,none,0,31,100.40625,98.80078125,361.41796875,354.0078125,0.0,0.0,19.30078125,-11.070932388305664
12,100,8.75,none,0,32,99.2578125,100.00390625,354.0546875,357.41796875,0.0,0.0,18.7734375,-10.894954681396484
12,100,8.75,none,0,33,99.84765625,99.40234375,356.94140625,357.78515625,0.0,0.0,18.89453125,-11.096223831176758
12,100,8.75,none,0,34,98.90625,100.4921875,353.5,359.30078125,0.0,0.0,18.3671875,-10.700552940368652
12,100,8.75,none,0,35,99.18359375,101.03515625,353.64453125,363.61328125,0.0,0.0,18.71484375,-10.913477897644043
12,100,8.75,none,0,36,98.80078125,101.265625,354.6875,364.0859375,0.0,0.0,17.921875,-10.786685943603516
12,100,8.75,none,0,37,97.9921875,100.68359375,351.9453125,367.8203125,0.0,0.0,18.0234375,-10.57861328125
12,100,8.75,none,0,38,97.0,101.36328125,351.34765625,369.86328125,0.0,0.0,18.11328125,-10.506738662719727
12,100,8.75,none,0,39,98.41796875,100.59375,351.0703125,370.63671875,0.0,0.0,17.98828125,-10.672819137573242
12,100,8.75,none,0,40,96.25390625,100.19140625,349.3828125,369.56640625,0.0,0.0,18.265625,-10.563704490661621
12,100,8.75,none,0,41,96.85546875,100.48046875,349.73828125,369.21875,0.0,0.0,18.28125,-10.843783378601074
12,100,8.75,none,0,42,96.453125,101.421875,350.953125,376.015625,0.0,0.0,18.21875,-10.648860931396484
12,100,8.75,none,0,43,96.9609375,100.57421875,352.41796875,377.09765625,0.0,0.0,18.08984375,-10.558496475219727
12,100,8.75,none,0,44,96.01953125,99.3359375,351.86328125,374.4921875,0.0,0.0,18.890625,-10.835090637207031
12,100,8.75,none,0,45,96.55078125,100.1796875,351.703125,379.91796875,0.0,0.0,18.41796875,-10.699122428894043
12,100,8.75,none,0,46,95.9765625,100.1328125,350.3984375,379.46484375,0.0,0.0,18.65625,-10.560709953308105
12,100,8.75,none,0,47,96.80859375,99.5859375,352.6328125,379.0625,0.0,0.0,18.69140625,-10.88740348815918
12,100,8.75,none,0,48,96.51171875,100.578125,356.52734375,384.734375,0.0,0.0,18.8671875,-10.70918083190918
12,100,8.75,none,0,49,96.171875,99.91796875,354.5,381.75390625,0.0,0.0,19.3828125,-10.8359375
12,100,8.75,none,0,50,96.31640625,100.39453125,353.84765625,386.640625,0.0,0.0,19.2265625,-10.819140434265137
12,100,8.75,none,0,51,94.78515625,100.6875,347.05859375,386.48828125,0.0,0.0,19.03515625,-10.575944900512695
12,100,8.75,none,0,52,94.93359375,100.32421875,353.13671875,388.3984375,0.0,0.0,19.90625,-10.523666381835938
12,100,8.75,none,0,53,94.390625,100.4140625,350.08203125,388.43359375,0.0,0.0,19.8515625,-10.740560531616211
12,100,8.75,none,0,54,95.42578125,100.00390625,352.91796875,387.875,0.0,0.0,20.09375,-10.591015815734863
12,100,8.75,none,0,55,95.81640625,100.1796875,357.54296875,390.375,0.0,0.0,20.078125,-10.571972846984863
12,100,8.75,none,0,56,95.0234375,99.921875,354.94921875,388.71484375,0.0,0.0,20.62109375,-10.893424987792969
12,100,8.75,none,0,57,94.0,100.6953125,353.09765625,393.890625,0.0,0.0,20.8671875,-10.621028900146484
12,100,8.75,none,0,58,94.66796875,99.47265625,359.9609375,390.29296875,0.0,0.0,20.578125,-10.770248413085938
12,100,8.75,none,0,59,94.2890625,99.40234375,356.2734375,388.3828125,0.0,0.0,20.2890625,-10.537891387939453
12,100,8.75,none,0,60,96.56640625,98.96875,362.48046875,388.07421875,0.0,0.0,20.01171875,-10.811491012573242
12,100,8.75,none,0,61,94.98046875,98.03125,354.875,386.28515625,0.0,0.0,20.5234375,-10.687629699707031
12,100,8.75,none,0,62,95.8828125,98.34375,354.79296875,388.29296875,0.0,0.0,20.671875,-10.637271881103516
12,100,8.75,none,0,63,95.03515625,99.94921875,352.1640625,391.6640625,0.0,0.0,20.22265625,-10.597429275512695
12,100,8.75,none,0,64,96.515625,98.8984375,356.21875,386.79296875,0.0,0.0,20.125,-10.831445693969727
12,100,8.75,none,0,65,97.8359375,98.859375,357.0546875,382.7578125,0.0,0.0,20.203125,-10.821094512939453
12,100,8.75,none,0,66,95.42578125,99.90234375,348.58984375,387.33984375,0.0,0.0,20.671875,-10.602213859558105
12,100,8.75,none,0,67,96.39453125,98.45703125,351.58203125,383.95703125,0.0,0.0,20.58984375,-10.884407043457031
12,100,8.75,none,0,68,96.078125,99.25,348.2265625,381.046875,0.0,0.0,20.33984375,-10.845638275146484
12,100,8.75,none,0,69,96.2578125,99.5703125,346.18359375,383.8671875,0.0,0.0,20.46484375,-10.908464431762695
12,100,8.75,none,0,70,94.69140625,100.4296875,339.21875,385.34375,0.0,0.0,20.53125,-10.412076950073242
12,100,8.75,none,0,71,95.4140625,100.55078125,342.60546875,383.2265625,0.0,0.0,20.15625,-10.82392692565918
12,100,8.75,none,0,72,95.484375,99.74609375,340.89453125,377.95703125,0.0,0.0,20.24609375,-10.725423812866211
12,100,8.75,none,0,73,95.1953125,100.62890625,340.01171875,381.609375,0.0,0.0,20.34375,-10.690657615661621
12,100,8.75,none,0,74,95.74609375,100.42578125,341.76171875,378.24609375,0.0,0.0,20.3125,-10.679980278015137
12,100,8.75,none,0,75,95.95703125,101.82421875,339.09375,381.85546875,0.0,0.0,19.90234375,-10.734016418457031
12,100,8.75,none,0,76,96.16015625,101.0078125,340.96484375,374.15625,0.0,0.0,20.02734375,-10.510677337646484
12,100,8.75,none,0,77,96.36328125,100.8515625,338.125,377.375,0.0,0.0,19.37890625,-10.648078918457031
12,100,8.75,none,0,78,97.22265625,101.7890625,342.234375,377.21875,0.0,0.0,19.3203125,-10.721972465515137
