N,D,bonus,condition,seed,update,eat0,eat1,enc0,enc1,selectivity,prevalence,zaps,ret
12,100,8.75,none,0,0,59.71484375,61.359375,474.65234375,477.56640625,0.0,0.0,40.15625,-13.364225387573242
12,100,8.75,none,0,1,61.41796875,60.09375,481.5625,463.2421875,0.0,0.0,40.05078125,-13.718001365661621
12,100,8.75,none,0,2,61.8046875,60.5,478.6875,469.0234375,0.0,0.0,39.4609375,-13.483041763305664
12,100,8.75,none,0,3,63.37109375,60.7734375,492.17578125,463.09765625,0.0,0.0,39.03515625,-13.6987943649292
12,100,8.75,none,0,4,63.94921875,60.53515625,495.703125,452.25,0.0,0.0,38.11328125,-13.71591854095459
12,100,8.75,none,0,5,65.3125,59.390625,501.3046875,443.5546875,0.0,0.0,37.609375,-13.888410568237305
12,100,8.75,none,0,6,67.9375,58.9765625,501.91796875,433.94140625,0.0,0.0,36.91796875,-14.197330474853516
12,100,8.75,none,0,7,66.69921875,61.0,496.578125,433.06640625,0.0,0.0,35.95703125,-13.34482479095459
12,100,8.75,none,0,8,69.24609375,61.19140625,499.61328125,419.08203125,0.0,0.0,35.15234375,-13.632097244262695
12,100,8.75,none,0,9,71.03515625,62.06640625,495.3359375,408.65234375,0.0,0.0,34.08203125,-13.781965255737305
12,100,8.75,none,0,10,71.33984375,65.4296875,485.25,408.703125,0.0,0.0,33.27734375,-13.366308212280273
12,100,8.75,none,0,11,73.27734375,67.1953125,483.29296875,404.74609375,0.0,0.0,32.58203125,-13.192838668823242
12,100,8.75,none,0,12,73.59375,71.07421875,464.28125,403.078125,0.0,0.0,32.15625,-12.763021469116211
12,100,8.75,none,0,13,76.4375,72.9453125,457.1796875,398.19140625,0.0,0.0,31.28125,-12.868586540222168
12,100,8.75,none,0,14,77.65625,76.9375,446.484375,399.6484375,0.0,0.0,30.05078125,-12.199610710144043
12,100,8.75,none,0,15,79.4609375,79.57421875,435.30859375,393.80078125,0.0,0.0,29.57421875,-12.386133193969727
12,100,8.75,none,0,16,80.52734375,82.6015625,422.2734375,390.9140625,0.0,0.0,29.375,-12.01416015625
12,100,8.75,none,0,17,81.875,85.25390625,411.546875,387.78125,0.0,0.0,29.0546875,-11.789453506469727
12,100,8.75,none,0,18,83.16796875,88.30859375,400.8671875,390.5546875,0.0,0.0,28.7890625,-11.871973037719727
12,100,8.75,none,0,19,84.46484375,88.6796875,385.96484375,377.73828125,0.0,0.0,28.0078125,-11.869074821472168
12,100,8.75,none,0,20,87.08984375,90.48046875,387.3828125,374.296875,0.0,0.0,27.5078125,-11.708755493164062
12,100,8.75,none,0,21,88.51171875,93.44921875,379.04296875,373.453125,0.0,0.0,26.03515625,-11.284049034118652
12,100,8.75,none,0,22,88.43359375,94.7578125,366.45703125,370.484375,0.0,0.0,25.31640625,-11.219858169555664
12,100,8.75,none,0,23,89.53515625,96.5390625,365.45703125,366.0390625,0.0,0.0,23.68359375,-10.844694137573242
12,100,8.75,none,0,24,91.40625,97.28515625,360.4765625,361.72265625,0.0,0.0,22.7734375,-10.966796875
12,100,8.75,none,0,25,92.2265625,98.09765625,356.9375,360.3125,0.0,0.0,22.53125,-10.86386775970459
12,100,8.75,none,0,26,93.140625,98.64453125,355.671875,357.75,0.0,0.0,21.78515625,-10.883463859558105
12,100,8.75,none,0,27,94.27734375,98.22265625,355.125,352.97265625,0.0,0.0,21.75390625,-10.927050590515137
12,100,8.75,none,0,28,96.265625,99.90234375,355.14453125,357.015625,0.0,0.0,20.8515625,-10.865852355957031
12,100,8.75,none,0,29,98.1796875,99.13671875,358.14453125,351.49609375,0.0,0.0,20.37109375,-11.126627922058105
12,100,8.75,none,0,30,99.171875,99.1328125,361.0859375,351.9140625,0.0,0.0,20.578125,-11.275228500366211
12,100,8.75,none,0,31,99.91015625,99.2734375,363.6328125,352.17578125,0.0,0.0,20.203125,-11.478288650512695
12,100,8.75,none,0,32,99.29296875,99.1171875,360.27734375,355.60546875,0.0,0.0,19.5234375,-11.25498104095459
12,100,8.75,none,0,33,99.90625,99.703125,360.5234375,358.296875,0.0,0.0,19.4765625,-11.234016418457031
12,100,8.75,none,0,34,99.9453125,99.2265625,360.4609375,358.9140625,0.0,0.0,18.99609375,-11.195963859558105
12,100,8.75,none,0,35,98.83203125,99.04296875,354.69921875,357.09375,0.0,0.0,18.6953125,-11.004037857055664
12,100,8.75,none,0,36,98.8203125,99.01953125,355.3203125,360.9765625,0.0,0.0,18.74609375,-11.0419921875
12,100,8.75,none,0,37,96.78125,98.703125,352.5859375,364.48828125,0.0,0.0,18.359375,-10.712142944335938
12,100,8.75,none,0,38,95.66015625,99.41796875,350.953125,370.2421875,0.0,0.0,18.16796875,-10.677638053894043
12,100,8.75,none,0,39,95.38671875,100.203125,348.71875,375.99609375,0.0,0.0,17.9609375,-10.547981262207031
12,100,8.75,none,0,40,95.3984375,100.16796875,350.56640625,377.9140625,0.0,0.0,18.1171875,-10.4296875
12,100,8.75,none,0,41,97.00390625,100.390625,355.64453125,380.30078125,0.0,0.0,17.98828125,-10.819726943969727
12,100,8.75,none,0,42,95.828125,100.921875,354.23828125,380.19140625,0.0,0.0,17.35546875,-10.453743934631348
12,100,8.75,none,0,43,96.5078125,100.453125,357.11328125,383.5390625,0.0,0.0,18.08984375,-10.420215606689453
12,100,8.75,none,0,44,95.6640625,100.2109375,354.8359375,381.43359375,0.0,0.0,18.2421875,-10.60166072845459
12,100,8.75,none,0,45,96.61328125,100.41796875,356.453125,385.015625,0.0,0.0,18.4609375,-10.633626937866211
