N,D,bonus,condition,seed,update,eat0,eat1,selectivity,zaps,ret
6,100,8.75,none,0,0,43.375,34.25,0.0,11.125,3.494791030883789
6,100,8.75,none,0,1,35.625,37.875,0.0,11.625,4.944791316986084
6,100,8.75,none,0,2,43.125,36.5,0.0,12.0,4.183332443237305
6,100,8.75,none,0,3,40.875,41.5,0.0,10.125,4.1760406494140625
6,100,8.75,none,0,4,44.125,40.125,0.0,11.5,3.9249989986419678
6,100,8.75,none,0,5,42.0,40.375,0.0,11.75,3.8395824432373047
6,100,8.75,none,0,6,42.25,40.125,0.0,11.5,5.360415935516357
6,100,8.75,none,0,7,40.625,39.0,0.0,10.875,2.423957586288452
6,100,8.75,none,0,8,39.0,39.625,0.0,12.5,4.897916316986084
6,100,8.75,none,0,9,40.875,37.75,0.0,12.625,4.311457633972168
6,100,8.75,none,0,10,36.5,40.875,0.0,13.5,7.702082633972168
6,100,8.75,none,0,11,39.25,45.375,0.0,12.0,6.158332347869873
6,100,8.75,none,0,12,35.0,44.125,0.0,12.0,7.406249046325684
6,100,8.75,none,0,13,39.0,44.625,0.0,12.375,5.751040935516357
6,100,8.75,none,0,14,36.75,45.5,0.0,12.75,5.560416221618652
6,100,8.75,none,0,15,39.125,44.375,0.0,13.5,7.610415935516357
6,100,8.75,none,0,16,40.625,44.0,0.0,12.125,4.930207252502441
6,100,8.75,none,0,17,43.125,43.375,0.0,13.25,4.679165840148926
6,100,8.75,none,0,18,40.25,44.125,0.0,12.625,5.761457443237305
6,100,8.75,none,0,19,39.0,47.5,0.0,13.75,8.03749942779541
6,100,8.75,none,1,0,38.625,40.625,0.0,12.25,6.447916030883789
6,100,8.75,none,1,1,37.125,34.625,0.0,12.625,5.259373664855957
6,100,8.75,none,1,2,39.5,40.0,0.0,11.5,5.09999942779541
6,100,8.75,none,1,3,35.25,39.125,0.0,12.75,5.114582061767578
6,100,8.75,none,1,4,36.25,39.625,0.0,12.375,6.819790840148926
6,100,8.75,none,1,5,38.875,38.25,0.0,14.25,6.2541656494140625
6,100,8.75,none,1,6,42.0,32.0,0.0,13.125,5.265624046325684
6,100,8.75,none,1,7,37.875,41.0,0.0,12.0,6.389582633972168
6,100,8.75,none,1,8,40.75,37.125,0.0,11.875,2.432291030883789
6,100,8.75,none,1,9,41.875,40.0,0.0,12.875,5.9260406494140625
6,100,8.75,none,1,10,42.125,36.625,0.0,13.25,3.5041656494140625
6,100,8.75,none,1,11,34.0,35.125,0.0,15.25,9.431249618530273
6,100,8.75,none,1,12,45.125,34.875,0.0,14.375,6.009374141693115
6,100,8.75,none,1,13,44.625,38.625,0.0,12.625,4.298957347869873
6,100,8.75,none,1,14,37.375,37.625,0.0,15.0,7.924999237060547
6,100,8.75,none,1,15,42.375,39.875,0.0,13.125,4.859374046325684
6,100,8.75,none,1,16,41.125,36.0,0.0,15.125,6.861457347869873
6,100,8.75,none,1,17,38.75,40.75,0.0,14.75,8.287500381469727
6,100,8.75,none,1,18,41.375,36.25,0.0,13.75,5.560416221618652
6,100,8.75,none,1,19,36.375,42.75,0.0,13.75,6.770832061767578
6,100,8.75,0,0,0,39.5,37.375,0.8958899974822998,11.25,3.077082395553589
6,100,8.75,0,0,1,36.625,40.0,0.9175599813461304,11.875,6.109374046325684
6,100,8.75,0,0,2,38.25,39.5,0.8924024105072021,10.125,3.994791030883789
6,100,8.75,0,0,3,42.125,41.0,1.0294302701950073,10.125,2.378124237060547
6,100,8.75,0,0,4,38.75,38.75,1.117606520652771,11.25,4.845832824707031
6,100,8.75,0,0,5,38.5,43.25,0.8790627717971802,12.625,5.8802080154418945
6,100,8.75,0,0,6,42.5,40.5,0.9508668184280396,13.0,6.491665840148926
6,100,8.75,0,0,7,36.75,42.625,0.9990823268890381,11.625,4.778124809265137
6,100,8.75,0,0,8,42.875,37.5,0.9921927452087402,12.625,5.323958396911621
6,100,8.75,0,0,9,41.375,43.5,0.8835821151733398,10.75,4.8958330154418945
6,100,8.75,0,0,10,41.125,41.875,0.9701364040374756,11.875,5.59062385559082
6,100,8.75,0,0,11,43.5,42.125,1.0047262907028198,11.375,4.061457633972168
6,100,8.75,0,0,12,38.125,43.5,0.900600790977478,10.875,4.951041221618652
6,100,8.75,0,0,13,41.75,42.875,0.8839616179466248,13.125,5.798957347869873
6,100,8.75,0,0,14,39.625,43.125,0.9229708909988403,12.125,3.8718738555908203
6,100,8.75,0,0,15,38.625,45.625,0.8787637948989868,13.125,6.484374046325684
6,100,8.75,0,0,16,41.0,43.375,0.9120810031890869,13.75,6.6291656494140625
6,100,8.75,0,0,17,40.875,48.875,0.9714078903198242,14.0,7.241666316986084
6,100,8.75,0,0,18,35.875,45.0,0.8856467604637146,13.625,6.367707252502441
6,100,8.75,0,0,19,37.5,52.625,0.9298650026321411,13.0,8.052082061767578
6,100,8.75,0,1,0,36.0,40.25,0.9339304566383362,10.875,5.1802077293396
6,100,8.75,0,1,1,41.125,34.375,0.9990779757499695,11.125,2.4343745708465576
6,100,8.75,0,1,2,42.25,39.75,0.9295961260795593,11.625,4.326041221618652
6,100,8.75,0,1,3,36.125,37.25,0.8923574090003967,13.125,7.288541316986084
6,100,8.75,0,1,4,41.625,37.75,1.0841267108917236,11.125,2.2406246662139893
6,100,8.75,0,1,5,37.75,35.75,0.7628312706947327,14.0,7.349998474121094
6,100,8.75,0,1,6,37.75,39.75,0.9676213264465332,10.875,3.2864577770233154
6,100,8.75,0,1,7,37.625,38.625,1.0791094303131104,12.125,5.021873950958252
6,100,8.75,0,1,8,41.125,32.625,0.8445704579353333,11.625,1.8635406494140625
6,100,8.75,0,1,9,41.5,38.25,0.7575516700744629,12.5,5.227083206176758
6,100,8.75,0,1,10,36.75,37.625,1.036937952041626,13.5,6.0666656494140625
6,100,8.75,0,1,11,38.75,35.75,0.9451645612716675,14.875,7.253124237060547
6,100,8.75,0,1,12,38.375,44.0,0.9956235885620117,11.75,5.79374885559082
6,100,8.75,0,1,13,39.25,39.0,0.9535383582115173,13.75,7.358332633972168
6,100,8.75,0,1,14,39.875,35.0,0.811553955078125,15.75,8.643749237060547
6,100,8.75,0,1,15,38.5,40.25,0.9851086139678955,11.75,4.5395827293396
6,100,8.75,0,1,16,40.5,40.25,0.8523533344268799,13.5,4.202082633972168
6,100,8.75,0,1,17,35.625,42.0,0.9259921908378601,12.875,5.765624523162842
6,100,8.75,0,1,18,43.0,40.875,0.9664778113365173,12.5,4.822916030883789
6,100,8.75,0,1,19,38.75,43.75,0.9613289833068848,13.125,5.782290935516357
6,100,8.75,01,0,0,38.875,42.0,1.1077755689620972,10.0,3.929165840148926
6,100,8.75,01,0,1,37.125,41.5,0.9276849031448364,11.5,6.0208330154418945
6,100,8.75,01,0,2,41.875,45.0,0.9116885662078857,11.375,4.68437385559082
6,100,8.75,01,0,3,43.625,38.375,1.0540679693222046,10.25,1.5270823240280151
6,100,8.75,01,0,4,37.5,42.375,0.9496890306472778,11.5,5.960416316986084
6,100,8.75,01,0,5,43.125,39.75,0.9437466859817505,10.875,1.8072909116744995
6,100,8.75,01,0,6,41.125,45.625,1.1204606294631958,10.625,6.488541603088379
6,100,8.75,01,0,7,38.375,39.875,0.904236912727356,11.0,3.929165840148926
6,100,8.75,01,0,8,40.75,42.875,0.934004545211792,12.5,5.78749942779541
6,100,8.75,01,0,9,43.125,40.75,0.8780707120895386,11.25,4.022915840148926
6,100,8.75,01,0,10,39.75,45.0,0.9182411432266235,11.5,5.093749046325684
6,100,8.75,01,0,11,39.375,43.125,1.067357063293457,12.625,5.482291221618652
6,100,8.75,01,0,12,41.125,48.25,0.9813601970672607,11.625,5.2010416984558105
6,100,8.75,01,0,13,43.25,45.25,0.9783636331558228,13.125,5.388541221618652
6,100,8.75,01,0,14,45.5,42.0,0.9250792264938354,11.75,2.8520827293395996
6,100,8.75,01,0,15,41.5,48.25,0.9726476669311523,13.25,8.393749237060547
6,100,8.75,01,0,16,43.125,46.0,0.9715834856033325,12.875,5.482290267944336
6,100,8.75,01,0,17,41.875,44.0,0.9166018962860107,10.25,2.416666030883789
6,100,8.75,01,0,18,44.0,44.75,0.9472431540489197,13.0,2.974999189376831
6,100,8.75,01,0,19,35.125,48.375,0.9946540594100952,14.125,9.594791412353516
6,100,8.75,01,1,0,37.875,35.625,0.9758177399635315,10.875,3.342707633972168
6,100,8.75,01,1,1,40.125,39.25,1.0685831308364868,11.875,4.8677077293396
6,100,8.75,01,1,2,41.875,37.625,0.9897696375846863,12.375,4.61562442779541
6,100,8.75,01,1,3,37.875,38.5,1.0070242881774902,11.0,3.662499189376831
6,100,8.75,01,1,4,38.25,36.75,0.9332953691482544,11.25,5.00624942779541
6,100,8.75,01,1,5,40.75,38.25,0.9723874926567078,13.0,5.1999993324279785
6,100,8.75,01,1,6,41.25,39.5,0.9621236324310303,12.0,5.572915554046631
6,100,8.75,01,1,7,40.75,44.125,1.041558027267456,11.5,6.027082443237305
6,100,8.75,01,1,8,37.125,39.75,0.9836441874504089,11.125,3.0114574432373047
6,100,8.75,01,1,9,39.25,39.375,0.9012449979782104,12.875,5.980207443237305
6,100,8.75,01,1,10,39.75,36.875,0.9429054856300354,11.875,3.9739577770233154
6,100,8.75,01,1,11,42.5,35.875,1.0334253311157227,12.75,4.333332538604736
6,100,8.75,01,1,12,42.875,36.625,0.9475233554840088,12.875,4.701041221618652
6,100,8.75,01,1,13,44.5,44.625,1.013250708580017,11.875,3.9927077293395996
6,100,8.75,01,1,14,40.875,39.125,1.0140275955200195,13.5,6.235416412353516
6,100,8.75,01,1,15,45.0,39.0,0.9456197619438171,12.75,3.1833322048187256
6,100,8.75,01,1,16,42.5,43.875,0.9267579913139343,11.75,3.5833327770233154
6,100,8.75,01,1,17,38.75,43.75,0.9159478545188904,13.625,7.873957633972168
6,100,8.75,01,1,18,40.375,40.375,1.0382500886917114,12.875,6.217707633972168
6,100,8.75,01,1,19,39.5,38.625,1.0519559383392334,14.0,5.606249809265137
