N,D,bonus,condition,seed,update,eat0,eat1,enc0,enc1,selectivity,prevalence,zaps,ret
12,100,8.75,0,0,0,57.875,60.625,477.875,480.5625,0.9665618538856506,0.4046269655227661,39.3125,-1.3755210638046265
12,100,8.75,0,0,1,57.875,65.8125,440.5,496.5625,0.9439669847488403,0.4054732918739319,41.3125,-1.0434898138046265
12,100,8.75,0,0,2,61.8125,59.625,481.0,460.125,0.8758105039596558,0.41936466097831726,40.5,-2.9708335399627686
12,100,8.75,0,0,3,60.875,65.3125,460.0,472.6875,0.9202991724014282,0.4192141890525818,40.5,-1.7885421514511108
12,100,8.75,0,0,4,59.5,62.4375,443.375,476.8125,0.928873598575592,0.4033224582672119,42.875,-2.214322805404663
12,100,8.75,0,0,5,61.25,63.0625,448.5625,454.5,0.9311321973800659,0.41783300042152405,41.125,-2.6781253814697266
12,100,8.75,0,0,6,59.1875,65.5625,449.5,477.3125,1.0119556188583374,0.404588520526886,42.4375,-1.0625003576278687
12,100,8.75,0,0,7,67.4375,60.9375,472.75,461.0,0.8968410491943359,0.45185133814811707,40.5625,-3.1044273376464844
12,100,8.75,0,0,8,63.0,63.125,449.625,458.0625,0.9413836598396301,0.4221433401107788,43.25,-1.9059898853302002
12,100,8.75,0,0,9,66.1875,64.9375,457.4375,461.625,0.873351514339447,0.4462188482284546,42.5,-1.9460935592651367
12,100,8.75,0,0,10,65.5,67.125,448.5,452.75,1.0488380193710327,0.42327427864074707,41.8125,-0.668489933013916
12,100,8.75,0,0,11,63.25,63.9375,426.625,438.9375,0.9352308511734009,0.43065157532691956,45.3125,-1.8130210638046265
12,100,8.75,0,0,12,67.1875,68.125,434.6875,436.375,1.024915337562561,0.42753463983535767,45.5,-0.7820317149162292
12,100,8.75,0,0,13,65.875,67.0625,437.0,440.5,0.96993488073349,0.44536757469177246,44.5625,-1.0463545322418213
12,100,8.75,0,0,14,67.4375,67.25,417.25,442.1875,0.905236005783081,0.44067463278770447,46.0625,-2.016146421432495
12,100,8.75,0,0,15,64.1875,65.5625,407.5,434.125,0.9895130395889282,0.4319268465042114,45.625,-1.0536460876464844
12,100,8.75,0,0,16,69.0,66.375,434.9375,429.4375,0.9675267934799194,0.4407215714454651,45.4375,-1.989062786102295
12,100,8.75,0,0,17,66.1875,68.3125,420.0,437.75,0.9856235980987549,0.4296901524066925,44.125,-1.733594298362732
12,100,8.75,0,0,18,67.4375,66.375,440.375,428.625,0.9948548674583435,0.44272106885910034,45.125,-1.2776044607162476
12,100,8.75,0,0,19,68.8125,70.0,437.3125,430.1875,1.0173959732055664,0.4439772665500641,45.9375,-0.43281301856040955
12,100,8.75,0,0,20,64.75,66.6875,414.625,413.8125,0.9670504331588745,0.45143672823905945,45.8125,-1.024479627609253
12,100,8.75,0,0,21,70.1875,63.75,422.875,409.25,0.9490553736686707,0.45277467370033264,47.125,-2.227604627609253
12,100,8.75,0,0,22,72.6875,65.75,450.8125,398.3125,0.9158633351325989,0.45098811388015747,46.0,-2.696354627609253
12,100,8.75,0,0,23,67.0625,69.4375,405.4375,414.375,0.9590369462966919,0.44988009333610535,46.5,-1.8283857107162476
12,100,8.75,0,0,24,70.0,65.875,432.125,394.9375,0.952300488948822,0.4553118944168091,48.0,-1.617969036102295
12,100,8.75,0,0,25,67.25,73.75,408.375,432.6875,0.9964935779571533,0.43654394149780273,47.125,-1.0208337306976318
12,100,8.75,0,0,26,66.6875,70.625,398.6875,411.0,0.956141471862793,0.4268023669719696,47.9375,-1.4757814407348633
12,100,8.75,0,0,27,71.8125,64.375,414.0625,374.5,1.0762183666229248,0.4435843229293823,47.0,-0.8960938453674316
12,100,8.75,0,0,28,69.4375,67.75,389.0,395.5,1.0369592905044556,0.4432453215122223,50.3125,0.3671870231628418
12,100,8.75,0,0,29,71.25,67.375,395.1875,393.625,0.9632389545440674,0.45444661378860474,48.6875,-2.1315102577209473
