N,D,bonus,condition,seed,update,eat0,eat1,selectivity,zaps,ret
12,100,8.75,0,0,0,57.875,60.625,0.9665618538856506,39.3125,16.07890510559082
12,100,8.75,0,0,1,57.25,64.8125,0.8716016411781311,40.25,16.326560974121094
12,100,8.75,0,0,2,60.0,59.375,0.8899515271186829,41.0,15.478645324707031
12,100,8.75,0,0,3,63.25,60.125,0.9708631038665771,39.9375,14.930468559265137
12,100,8.75,0,0,4,58.125,61.75,0.9821252822875977,40.75,16.430728912353516
12,100,8.75,0,0,5,57.5,61.625,0.9370600581169128,41.5,16.652603149414062
12,100,8.75,0,0,6,59.75,60.0,0.926889181137085,42.5625,16.579946517944336
12,100,8.75,0,0,7,60.8125,58.4375,0.8799738883972168,42.75,16.842185974121094
12,100,8.75,0,0,8,58.125,56.6875,0.9981708526611328,45.375,18.255727767944336
12,100,8.75,0,0,9,59.125,56.1875,0.9198014736175537,43.0,15.955728530883789
12,100,8.75,0,0,10,59.75,56.9375,1.0720069408416748,42.375,15.108332633972168
12,100,8.75,0,0,11,55.625,56.0,0.9028635025024414,45.0625,17.501300811767578
12,100,8.75,0,0,12,62.1875,56.625,0.9122511744499207,45.6875,17.101301193237305
12,100,8.75,0,0,13,58.125,53.9375,0.9407270550727844,47.6875,18.145050048828125
12,100,8.75,0,0,14,59.25,54.5,0.9098088145256042,48.1875,17.809114456176758
12,100,8.75,0,0,15,54.0,51.0625,0.9106952548027039,49.625,18.932811737060547
12,100,8.75,0,0,16,56.875,52.75,0.9726450443267822,49.1875,18.3341121673584
12,100,8.75,0,0,17,53.5,55.5,0.8838227391242981,49.875,19.314062118530273
12,100,8.75,0,0,18,53.4375,52.375,0.8645201325416565,51.25,19.787498474121094
12,100,8.75,0,0,19,51.1875,54.5,0.971710741519928,52.3125,19.91484260559082
12,100,8.75,0,0,20,53.5,50.6875,0.9274775981903076,51.5,18.62968635559082
12,100,8.75,0,0,21,55.75,50.6875,0.9640087485313416,52.3125,18.778385162353516
12,100,8.75,0,0,22,54.5,50.8125,0.9340071678161621,52.9375,19.33150863647461
12,100,8.75,0,0,23,54.0625,52.125,0.9355097413063049,53.375,19.990623474121094
12,100,8.75,0,0,24,53.5,51.625,0.8633713126182556,53.625,20.132291793823242
12,100,8.75,0,0,25,48.8125,53.4375,0.9465493559837341,53.125,20.01249885559082
12,100,8.75,0,0,26,50.5,51.8125,0.8607624769210815,53.4375,19.413280487060547
12,100,8.75,0,0,27,51.8125,52.0625,0.8595843315124512,54.3125,20.132551193237305
12,100,8.75,0,0,28,50.1875,47.375,0.891777753829956,54.125,19.90052032470703
12,100,8.75,0,0,29,50.5625,50.4375,0.9018362164497375,52.375,18.27864646911621
12,100,8.75,0,0,30,51.125,53.375,0.9086338877677917,52.375,18.57760238647461
12,100,8.75,0,0,31,52.0,53.375,0.9481627345085144,53.125,18.978124618530273
12,100,8.75,0,0,32,50.875,51.25,0.8886972665786743,55.125,19.843229293823242
12,100,8.75,0,0,33,51.875,51.0625,0.8320334553718567,54.1875,19.654945373535156
12,100,8.75,0,0,34,50.1875,48.75,1.0182756185531616,54.125,19.099477767944336
12,100,8.75,0,0,35,52.3125,50.125,0.9213821291923523,54.375,19.352081298828125
12,100,8.75,0,0,36,45.0,53.0625,0.9325053095817566,54.75,20.453643798828125
12,100,8.75,0,0,37,52.1875,51.125,0.8699671030044556,54.375,19.557289123535156
12,100,8.75,0,0,38,52.5625,48.3125,0.9871572852134705,54.4375,18.876300811767578
12,100,8.75,0,0,39,51.5625,52.0,0.9453104734420776,54.1875,19.09244728088379
12,100,8.75,0,1,0,56.5,60.1875,0.9683043360710144,41.25,16.563018798828125
12,100,8.75,0,1,1,60.25,59.625,0.9997414350509644,39.8125,15.521614074707031
12,100,8.75,0,1,2,58.875,58.875,0.8875991106033325,40.625,16.116146087646484
12,100,8.75,0,1,3,62.0,56.5,0.957205593585968,39.3125,14.370051383972168
12,100,8.75,0,1,4,60.875,58.8125,1.0133779048919678,38.1875,14.73515510559082
12,100,8.75,0,1,5,55.5,56.0625,0.9595758318901062,43.875,18.023956298828125
12,100,8.75,0,1,6,58.375,54.3125,1.0562608242034912,42.0,16.323957443237305
12,100,8.75,0,1,7,54.5625,59.4375,0.9769316911697388,42.4375,17.371614456176758
12,100,8.75,0,1,8,58.375,51.75,1.0176737308502197,42.5,15.44999885559082
12,100,8.75,0,1,9,52.4375,56.625,0.9427721500396729,42.1875,17.182552337646484
12,100,8.75,0,1,10,58.75,54.8125,0.8965939283370972,42.9375,15.848175048828125
12,100,8.75,0,1,11,53.5625,54.875,1.0135256052017212,45.9375,18.897132873535156
12,100,8.75,0,1,12,53.25,57.0625,0.936674177646637,44.6875,18.36536407470703
12,100,8.75,0,1,13,53.5625,53.375,1.0002377033233643,47.8125,19.187759399414062
12,100,8.75,0,1,14,53.0625,52.875,0.8814865946769714,46.1875,17.95703125
12,100,8.75,0,1,15,55.3125,53.8125,0.9083302617073059,48.3125,19.17734146118164
12,100,8.75,0,1,16,57.5625,52.125,0.8876790404319763,47.875,17.769790649414062
12,100,8.75,0,1,17,52.4375,53.1875,0.9755337238311768,49.1875,19.678905487060547
12,100,8.75,0,1,18,55.8125,50.375,0.9476577639579773,50.25,18.653644561767578
12,100,8.75,0,1,19,49.4375,51.5,0.9300307035446167,52.375,20.777080535888672
12,100,8.75,0,1,20,51.0,51.6875,0.9315013885498047,51.5,19.74427032470703
12,100,8.75,0,1,21,47.8125,51.625,0.904620885848999,50.9375,19.787757873535156
12,100,8.75,0,1,22,50.875,52.8125,0.9682004451751709,53.5625,21.233070373535156
12,100,8.75,0,1,23,48.75,46.6875,0.9472225308418274,53.8125,20.64140510559082
12,100,8.75,0,1,24,49.6875,53.0625,0.8928225636482239,52.625,19.76822853088379
12,100,8.75,0,1,25,50.75,52.875,0.9287496209144592,54.0625,20.66275978088379
12,100,8.75,0,1,26,49.0,50.1875,0.9468722939491272,55.6875,21.522655487060547
12,100,8.75,0,1,27,49.8125,50.125,0.8749563694000244,54.875,20.583332061767578
12,100,8.75,0,1,28,47.625,49.1875,0.9151014089584351,55.3125,20.72213363647461
12,100,8.75,0,1,29,44.875,48.625,0.8818804025650024,56.3125,21.577863693237305
12,100,8.75,0,1,30,45.0625,52.375,0.9127994179725647,55.4375,21.686195373535156
12,100,8.75,0,1,31,46.1875,47.875,0.9210087060928345,55.75,20.565624237060547
12,100,8.75,0,1,32,48.625,47.0625,0.9130814075469971,55.5625,19.735675811767578
12,100,8.75,0,1,33,48.8125,47.125,0.9549316167831421,55.4375,19.853904724121094
12,100,8.75,0,1,34,45.4375,51.4375,0.9628502130508423,55.4375,21.18775749206543
12,100,8.75,0,1,35,45.0,49.375,0.931320071220398,56.5625,21.114843368530273
12,100,8.75,0,1,36,43.6875,48.4375,0.8658300042152405,55.4375,20.781509399414062
12,100,8.75,0,1,37,44.1875,47.4375,0.862506091594696,57.0,21.893749237060547
