N,D,bonus,condition,seed,update,eat0,eat1,enc0,enc1,selectivity,prevalence,zaps,ret
12,100,8.75,none,0,0,59.75,61.51171875,474.29296875,478.86328125,0.0,0.0,40.1328125,-56.8111686706543
12,100,8.75,none,0,1,61.03515625,60.109375,481.4609375,465.57421875,0.0,0.0,39.98046875,-57.020484924316406
12,100,8.75,none,0,2,60.32421875,59.64453125,476.359375,470.60546875,0.0,0.0,39.87890625,-56.71322250366211
12,100,8.75,none,0,3,61.86328125,58.98046875,493.94140625,457.7578125,0.0,0.0,39.5390625,-56.61791229248047
12,100,8.75,none,0,4,62.8359375,58.4921875,497.5703125,451.16015625,0.0,0.0,39.03515625,-56.103546142578125
12,100,8.75,none,0,5,62.93359375,55.7265625,502.67578125,440.125,0.0,0.0,38.90234375,-56.3643913269043
12,100,8.75,none,0,6,64.57421875,54.52734375,509.7734375,429.09765625,0.0,0.0,38.15234375,-55.699581146240234
12,100,8.75,none,0,7,64.1875,53.734375,515.109375,416.5390625,0.0,0.0,37.41796875,-54.76455307006836
12,100,8.75,none,0,8,64.171875,53.91015625,509.0234375,414.59375,0.0,0.0,36.40234375,-53.331443786621094
12,100,8.75,none,0,9,64.97265625,53.62890625,508.64453125,398.44921875,0.0,0.0,36.05859375,-53.00176239013672
12,100,8.75,none,0,10,65.03125,54.359375,506.40234375,396.34375,0.0,0.0,35.046875,-51.75309371948242
12,100,8.75,none,0,11,65.80859375,54.56640625,503.53515625,397.109375,0.0,0.0,34.45703125,-50.97822189331055
12,100,8.75,none,0,12,65.4375,55.75390625,490.3671875,390.0859375,0.0,0.0,33.53125,-49.767059326171875
12,100,8.75,none,0,13,67.49609375,56.80078125,487.7265625,386.75390625,0.0,0.0,32.1328125,-48.077537536621094
12,100,8.75,none,0,14,67.1171875,59.7265625,480.35546875,387.80859375,0.0,0.0,30.74609375,-45.702186584472656
12,100,8.75,none,0,15,67.9375,60.44140625,467.18359375,382.2265625,0.0,0.0,29.38671875,-44.10345458984375
12,100,8.75,none,0,16,70.6640625,61.32421875,464.2578125,374.234375,0.0,0.0,29.1171875,-43.986724853515625
12,100,8.75,none,0,17,72.234375,65.19921875,451.265625,378.6875,0.0,0.0,28.0859375,-42.6080436706543
12,100,8.75,none,0,18,76.140625,66.30078125,454.09375,373.62109375,0.0,0.0,27.75390625,-42.6484375
12,100,8.75,none,0,19,76.84375,68.390625,444.390625,369.4765625,0.0,0.0,26.734375,-41.42076873779297
